"Anti-miARNs","Recuento_Celular","Replicas ","Tiempo","Concentracion","Fluorescencia","","","","","","","","","","","","","",""
"0","1","6","1","10","4090","","","","","","","","","","","","","",""
"0","1","7","1","10","2095","","","","","","","","","","","","","",""
"0","1","8","1","10","4036","","","","","","","","","","","","","",""
"0","1","1","2","10","3931","","","","","","","","","","","","","",""
"0","1","2","2","10","3604","","","","","","","","","","","","","",""
"0","1","3","2","10","3225","","","","","","","","","","","","","",""
"0","1","4","2","10","4585","","","","","","","","","","","","","",""
"0","1","5","2","10","2386","","","","","","","","","","","","","",""
"0","1","6","2","10","4155","","","","","","","","","","","","","",""
"0","1","7","2","10","2352","","","","","","","","","","","","","",""
"0","1","8","2","10","4157","","","","","","","","","","","","","",""
"0","1","1","3","10","4715","","","","","","","","","","","","","",""
"0","1","2","3","10","4223","","","","","","","","","","","","","",""
"0","1","3","3","10","3850","","","","","","","","","","","","","",""
"0","1","4","3","10","5327","","","","","","","","","","","","","",""
"0","1","5","3","10","2920","","","","","","","","","","","","","",""
"0","1","6","3","10","5040","","","","","","","","","","","","","",""
"0","1","7","3","10","2904","","","","","","","","","","","","","",""
"0","1","8","3","10","4971","","","","","","","","","","","","","",""
"0","1","1","4","10","5166","","","","","","","","","","","","","",""
"0","1","2","4","10","4846","","","","","","","","","","","","","",""
"0","1","3","4","10","4424","","","","","","","","","","","","","",""
"0","1","4","4","10","5757","","","","","","","","","","","","","",""
"0","1","5","4","10","3527","","","","","","","","","","","","","",""
"0","1","6","4","10","5762","","","","","","","","","","","","","",""
"0","1","7","4","10","3390","","","","","","","","","","","","","",""
"0","1","8","4","10","5659","","","","","","","","","","","","","",""
"0","1","1","5","10","5743","","","","","","","","","","","","","",""
"0","1","2","5","10","5500","","","","","","","","","","","","","",""
"0","1","3","5","10","4769","","","","","","","","","","","","","",""
"0","1","4","5","10","6325","","","","","","","","","","","","","",""
"0","1","5","5","10","3940","","","","","","","","","","","","","",""
"0","1","6","5","10","6127","","","","","","","","","","","","","",""
"0","1","7","5","10","3875","","","","","","","","","","","","","",""
"0","1","8","5","10","6184","","","","","","","","","","","","","",""
"0","1","1","6","10","5977","","","","","","","","","","","","","",""
"0","1","2","6","10","5712","","","","","","","","","","","","","",""
"0","1","3","6","10","5255","","","","","","","","","","","","","",""
"0","1","4","6","10","6342","","","","","","","","","","","","","",""
"0","1","5","6","10","4573","","","","","","","","","","","","","",""
"0","1","6","6","10","6886","","","","","","","","","","","","","",""
"0","1","7","6","10","4458","","","","","","","","","","","","","",""
"0","1","8","6","10","6708","","","","","","","","","","","","","",""
"0","1","1","7","10","6775","","","","","","","","","","","","","",""
"0","1","2","7","10","6449","","","","","","","","","","","","","",""
"0","1","3","7","10","5979","","","","","","","","","","","","","",""
"0","1","4","7","10","6944","","","","","","","","","","","","","",""
"0","1","5","7","10","4891","","","","","","","","","","","","","",""
"0","1","6","7","10","7124","","","","","","","","","","","","","",""
"0","1","7","7","10","4815","","","","","","","","","","","","","",""
"0","1","8","7","10","6893","","","","","","","","","","","","","",""
"0","0","1","1","10","10","","","","","","","","","","","","","",""
"0","0","2","1","10","11","","","","","","","","","","","","","",""
"0","0","3","1","10","2","","","","","","","","","","","","","",""
"0","0","4","1","10","18","","","","","","","","","","","","","",""
"0","0","5","1","10","12","","","","","","","","","","","","","",""
"0","0","6","1","10","9","","","","","","","","","","","","","",""
"0","0","7","1","10","8","","","","","","","","","","","","","",""
"0","0","8","1","10","21","","","","","","","","","","","","","",""
"0","0","1","2","10","23","","","","","","","","","","","","","",""
"0","0","2","2","10","19","","","","","","","","","","","","","",""
"0","0","3","2","10","8","","","","","","","","","","","","","",""
"0","0","4","2","10","28","","","","","","","","","","","","","",""
"0","0","5","2","10","86","","","","","","","","","","","","","",""
"0","0","6","2","10","166","","","","","","","","","","","","","",""
"0","0","7","2","10","12","","","","","","","","","","","","","",""
"0","0","8","2","10","22","","","","","","","","","","","","","",""
"0","0","1","3","10","91","","","","","","","","","","","","","",""
"0","0","2","3","10","91","","","","","","","","","","","","","",""
"0","0","3","3","10","109","","","","","","","","","","","","","",""
"0","0","4","3","10","126","","","","","","","","","","","","","",""
"0","0","5","3","10","47","","","","","","","","","","","","","",""
"0","0","6","3","10","78","","","","","","","","","","","","","",""
"0","0","7","3","10","106","","","","","","","","","","","","","",""
"0","0","8","3","10","98","","","","","","","","","","","","","",""
"0","0","1","4","10","236","","","","","","","","","","","","","",""
"0","0","2","4","10","327","","","","","","","","","","","","","",""
"0","0","3","4","10","371","","","","","","","","","","","","","",""
"0","0","4","4","10","327","","","","","","","","","","","","","",""
"0","0","5","4","10","194","","","","","","","","","","","","","",""
"0","0","6","4","10","243","","","","","","","","","","","","","",""
"0","0","7","4","10","319","","","","","","","","","","","","","",""
"0","0","8","4","10","282","","","","","","","","","","","","","",""
"0","0","1","5","10","561","","","","","","","","","","","","","",""
"0","0","2","5","10","661","","","","","","","","","","","","","",""
"0","0","3","5","10","770","","","","","","","","","","","","","",""
"0","0","4","5","10","726","","","","","","","","","","","","","",""
"0","0","5","5","10","373","","","","","","","","","","","","","",""
"0","0","6","5","10","453","","","","","","","","","","","","","",""
"0","0","7","5","10","632","","","","","","","","","","","","","",""
"0","0","8","5","10","629","","","","","","","","","","","","","",""
"0","0","1","6","10","882","","","","","","","","","","","","","",""
"0","0","2","6","10","974","","","","","","","","","","","","","",""
"0","0","3","6","10","1093","","","","","","","","","","","","","",""
"0","0","4","6","10","1085","","","","","","","","","","","","","",""
"0","0","5","6","10","645","","","","","","","","","","","","","",""
"0","0","6","6","10","829","","","","","","","","","","","","","",""
"0","0","7","6","10","935","","","","","","","","","","","","","",""
"0","0","8","6","10","917","","","","","","","","","","","","","",""
"0","0","1","7","10","1307","","","","","","","","","","","","","",""
"0","0","2","7","10","1325","","","","","","","","","","","","","",""
"0","0","3","7","10","1444","","","","","","","","","","","","","",""
"0","0","4","7","10","1537","","","","","","","","","","","","","",""
"0","0","5","7","10","865","","","","","","","","","","","","","",""
"0","0","6","7","10","1196","","","","","","","","","","","","","",""
"0","0","7","7","10","1140","","","","","","","","","","","","","",""
"0","0","8","7","10","1284","","","","","","","","","","","","","",""
"1","1","1","1","5","3497","","","","","","","","","","","","","",""
"1","1","2","1","5","3507","","","","","","","","","","","","","",""
"1","1","3","1","5","2698","","","","","","","","","","","","","",""
"1","1","4","1","5","4501","","","","","","","","","","","","","",""
"1","1","5","1","5","2383","","","","","","","","","","","","","",""
"1","1","6","1","5","3793","","","","","","","","","","","","","",""
"1","1","7","1","5","1904","","","","","","","","","","","","","",""
"1","1","8","1","5","3897","","","","","","","","","","","","","",""
"1","1","1","2","5","3619","","","","","","","","","","","","","",""
"1","1","2","2","5","3660","","","","","","","","","","","","","",""
"1","1","3","2","5","2999","","","","","","","","","","","","","",""
"1","1","4","2","5","4629","","","","","","","","","","","","","",""
"1","1","5","2","5","2729","","","","","","","","","","","","","",""
"1","1","6","2","5","3959","","","","","","","","","","","","","",""
"1","1","7","2","5","2203","","","","","","","","","","","","","",""
"1","1","8","2","5","4083","","","","","","","","","","","","","",""
"1","1","1","3","5","4534","","","","","","","","","","","","","",""
"1","1","2","3","5","4640","","","","","","","","","","","","","",""
"1","1","3","3","5","3727","","","","","","","","","","","","","",""
"1","1","4","3","5","5762","","","","","","","","","","","","","",""
"1","1","5","3","5","3499","","","","","","","","","","","","","",""
"1","1","6","3","5","4942","","","","","","","","","","","","","",""
"1","1","7","3","5","2804","","","","","","","","","","","","","",""
"1","1","8","3","5","4955","","","","","","","","","","","","","",""
"1","1","1","4","5","4645","","","","","","","","","","","","","",""
"1","1","2","4","5","4909","","","","","","","","","","","","","",""
"1","1","3","4","5","3971","","","","","","","","","","","","","",""
"1","1","4","4","5","5702","","","","","","","","","","","","","",""
"1","1","5","4","5","4201","","","","","","","","","","","","","",""
"1","1","6","4","5","5502","","","","","","","","","","","","","",""
"1","1","7","4","5","3340","","","","","","","","","","","","","",""
"1","1","8","4","5","5714","","","","","","","","","","","","","",""
"1","1","1","5","5","5044","","","","","","","","","","","","","",""
"1","1","2","5","5","5428","","","","","","","","","","","","","",""
"1","1","3","5","5","4485","","","","","","","","","","","","","",""
