"Anti-miARNs","Recuento_Celular","Replicas ","Tiempo","Concentracion","Fluorescencia"
"0","0","4","3","20","256"
"0","0","5","3","20","184"
"0","0","6","3","20","218"
"0","0","7","3","20","269"
"0","0","8","3","20","250"
"0","0","1","4","20","318"
"0","0","2","4","20","314"
"0","0","3","4","20","391"
"0","0","4","4","20","424"
"0","0","5","4","20","403"
"0","0","6","4","20","348"
"0","0","7","4","20","512"
"0","0","8","4","20","420"
"0","0","1","5","20","549"
"0","0","2","5","20","525"
"0","0","3","5","20","589"
"0","0","4","5","20","685"
"0","0","5","5","20","482"
"0","0","6","5","20","578"
"0","0","7","5","20","739"
"0","0","8","5","20","601"
"0","0","1","6","20","665"
"0","0","2","6","20","645"
"0","0","3","6","20","812"
"0","0","4","6","20","855"
"0","0","5","6","20","640"
"0","0","6","6","20","773"
"0","0","7","6","20","977"
"0","0","8","6","20","683"
"0","0","1","7","20","866"
"0","0","2","7","20","833"
"0","0","3","7","20","906"
"0","0","4","7","20","1085"
"0","0","5","7","20","644"
"0","0","6","7","20","914"
"0","0","7","7","20","1076"
"0","0","8","7","20","863"
"1","1","1","1","10","3826"
"1","1","2","1","10","3593"
"1","1","3","1","10","2930"
"1","1","4","1","10","4008"
"1","1","5","1","10","3161"
"1","1","6","1","10","3996"
"1","1","7","1","10","2900"
"1","1","8","1","10","4261"
"1","1","1","2","10","5632"
"1","1","2","2","10","5278"
"1","1","3","2","10","5216"
"1","1","4","2","10","5370"
"1","1","5","2","10","5594"
"1","1","6","2","10","5775"
"1","1","7","2","10","5057"
"1","1","8","2","10","5253"
"1","1","1","3","10","7219"
"1","1","2","3","10","6924"
"1","1","3","3","10","6732"
"1","1","4","3","10","6902"
"1","1","5","3","10","7018"
"1","1","6","3","10","6879"
"1","1","7","3","10","6948"
"1","1","8","3","10","5821"
"1","1","1","4","10","6441"
"1","1","2","4","10","6110"
"1","1","3","4","10","6464"
"1","1","4","4","10","6095"
"1","1","5","4","10","5890"
"1","1","6","4","10","5957"
"1","1","7","4","10","7047"
"1","1","8","4","10","4859"
"1","1","1","5","10","5593"
"1","1","2","5","10","5220"
"1","1","3","5","10","5322"
"1","1","4","5","10","5202"
"1","1","5","5","10","5002"
"1","1","6","5","10","5602"
"1","1","7","5","10","6269"
"1","1","8","5","10","4660"
"1","1","1","6","10","5231"
"1","1","2","6","10","5021"
"1","1","3","6","10","5083"
"1","1","4","6","10","5014"
"1","1","5","6","10","5351"
"1","1","6","6","10","6092"
"1","1","7","6","10","6927"
"1","1","8","6","10","5094"
"1","1","1","7","10","5433"
"1","1","2","7","10","5115"
"1","1","3","7","10","5272"
"1","1","4","7","10","5145"
"1","1","5","7","10","4814"
"1","1","6","7","10","5121"
"1","1","7","7","10","5410"
"1","1","8","7","10","4343"
"1","0","1","1","10","95"
"1","0","2","1","10","244"
"1","0","3","1","10","109"
"1","0","4","1","10","470"
"1","0","5","1","10","69"
"1","0","6","1","10","362"
"1","0","7","1","10","95"
"1","0","8","1","10","572"
"1","0","1","2","10","214"
"1","0","2","2","10","374"
"1","0","3","2","10","166"
"1","0","4","2","10","424"
"1","0","5","2","10","197"
"1","0","6","2","10","428"
"1","0","7","2","10","175"
"1","0","8","2","10","709"
"1","0","1","3","10","161"
"1","0","2","3","10","252"
"1","0","3","3","10","251"
"1","0","4","3","10","419"
"1","0","5","3","10","348"
"1","0","6","3","10","446"
"1","0","7","3","10","285"
"1","0","8","3","10","723"
"1","0","1","4","10","270"
"1","0","2","4","10","423"
"1","0","3","4","10","377"
"1","0","4","4","10","500"
"1","0","5","4","10","518"
"1","0","6","4","10","584"
"1","0","7","4","10","450"
"1","0","8","4","10","1050"
"1","0","1","5","10","524"
"1","0","2","5","10","723"
"1","0","3","5","10","675"
"1","0","4","5","10","804"
"1","0","5","5","10","883"
"1","0","6","5","10","884"
"1","0","7","5","10","765"
"1","0","8","5","10","1274"
"1","0","1","6","10","915"
"1","0","2","6","10","1068"
"1","0","3","6","10","935"
"1","0","4","6","10","1127"
"1","0","5","6","10","1320"
"1","0","6","6","10","1242"
"1","0","7","6","10","1156"
"1","0","8","6","10","1559"
"1","0","1","7","10","1142"
"1","0","2","7","10","1305"
"1","0","3","7","10","1229"
"1","0","4","7","10","1294"
"1","0","5","7","10","1412"
"1","0","6","7","10","1432"
"1","0","7","7","10","1290"
"1","0","8","7","10","1751"
"0","1","1","1","10","23720"
"0","1","2","1","10","1762"
"0","1","3","1","10","22808"
"0","1","4","1","10","2143"
"0","1","5","1","10","1497"
"0","1","6","1","10","12743"
"0","1","7","1","10","2099"
"0","1","8","1","10","1725"
"0","1","1","2","10","23441"
"0","1","2","2","10","7775"
"0","1","3","2","10","22196"
"0","1","4","2","10","3395"
"0","1","5","2","10","5634"
"0","1","6","2","10","17087"
"0","1","7","2","10","3347"
"0","1","8","2","10","3944"
"0","1","1","3","10","21441"
"0","1","2","3","10","4975"
"0","1","3","3","10","15800"
"0","1","4","3","10","5124"
"0","1","5","3","10","4294"
"0","1","6","3","10","6662"
"0","1","7","3","10","4812"
"0","1","8","3","10","4491"
"0","1","1","4","10","15150"
"0","1","2","4","10","5918"
"0","1","3","4","10","7418"
"0","1","4","4","10","5756"
"0","1","5","4","10","5138"
"0","1","6","4","10","4831"
"0","1","7","4","10","4874"
"0","1","8","4","10","4884"
"0","1","1","5","10","10291"
"0","1","2","5","10","5384"
"0","1","3","5","10","6391"
"0","1","4","5","10","5095"
"0","1","5","5","10","4993"
"0","1","6","5","10","4980"
"0","1","7","5","10","4454"
"0","1","8","5","10","4921"
"0","1","1","6","10","7855"
"0","1","2","6","10","5152"
"0","1","3","6","10","6308"
"0","1","4","6","10","4878"
"0","1","5","6","10","4884"
"0","1","6","6","10","4978"
"0","1","7","6","10","4363"
"0","1","8","6","10","4583"
"0","1","1","7","10","6817"
"0","1","2","7","10","5204"
"0","1","3","7","10","5965"
"0","1","4","7","10","4763"
"0","1","5","7","10","4643"
"0","1","6","7","10","4956"
"0","1","7","7","10","4412"
"0","1","8","7","10","4332"
"0","0","1","1","10","46"
"0","0","2","1","10","65"
"0","0","3","1","10","73"
"0","0","4","1","10","134"
