"Anti-miARNs","Recuento_Celular","Replicas ","Tiempo","Concentracion","Fluorescencia","","","","","","","","","","","","","",""
"1","0","6","7","20","1431","","","","","","","","","","","","","",""
"1","0","7","7","20","1767","","","","","","","","","","","","","",""
"1","0","8","7","20","1582","","","","","","","","","","","","","",""
"0","1","1","1","20","4048","","","","","","","","","","","","","",""
"0","1","2","1","20","4865","","","","","","","","","","","","","",""
"0","1","3","1","20","3111","","","","","","","","","","","","","",""
"0","1","4","1","20","5076","","","","","","","","","","","","","",""
"0","1","5","1","20","3280","","","","","","","","","","","","","",""
"0","1","6","1","20","4535","","","","","","","","","","","","","",""
"0","1","7","1","20","3133","","","","","","","","","","","","","",""
"0","1","8","1","20","4994","","","","","","","","","","","","","",""
"0","1","1","2","20","4492","","","","","","","","","","","","","",""
"0","1","2","2","20","5253","","","","","","","","","","","","","",""
"0","1","3","2","20","3539","","","","","","","","","","","","","",""
"0","1","4","2","20","5453","","","","","","","","","","","","","",""
"0","1","5","2","20","3854","","","","","","","","","","","","","",""
"0","1","6","2","20","5043","","","","","","","","","","","","","",""
"0","1","7","2","20","3733","","","","","","","","","","","","","",""
"0","1","8","2","20","5494","","","","","","","","","","","","","",""
"0","1","1","3","20","5810","","","","","","","","","","","","","",""
"0","1","2","3","20","6589","","","","","","","","","","","","","",""
"0","1","3","3","20","4496","","","","","","","","","","","","","",""
"0","1","4","3","20","6648","","","","","","","","","","","","","",""
"0","1","5","3","20","5110","","","","","","","","","","","","","",""
"0","1","6","3","20","6408","","","","","","","","","","","","","",""
"0","1","7","3","20","4593","","","","","","","","","","","","","",""
"0","1","8","3","20","6784","","","","","","","","","","","","","",""
"0","1","1","4","20","5920","","","","","","","","","","","","","",""
"0","1","2","4","20","6636","","","","","","","","","","","","","",""
"0","1","3","4","20","4653","","","","","","","","","","","","","",""
"0","1","4","4","20","6568","","","","","","","","","","","","","",""
"0","1","5","4","20","5417","","","","","","","","","","","","","",""
"0","1","6","4","20","6393","","","","","","","","","","","","","",""
"0","1","7","4","20","4770","","","","","","","","","","","","","",""
"0","1","8","4","20","6674","","","","","","","","","","","","","",""
"0","1","1","5","20","6003","","","","","","","","","","","","","",""
"0","1","2","5","20","6661","","","","","","","","","","","","","",""
"0","1","3","5","20","4637","","","","","","","","","","","","","",""
"0","1","4","5","20","6586","","","","","","","","","","","","","",""
