Tratamiento ;Condición;Pseudoreplica ;Tiempo;Concentración AntimiRs;Fluorescencia;;;;;;;;;;;;;;
0;1;7;4;0;3390;;;;;;;;;;;;;;
0;1;8;4;0;5659;;;;;;;;;;;;;;
0;1;1;5;0;5743;;;;;;;;;;;;;;
0;1;2;5;0;5500;;;;;;;;;;;;;;
0;1;3;5;0;4769;;;;;;;;;;;;;;
0;1;4;5;0;6325;;;;;;;;;;;;;;
0;1;5;5;0;3940;;;;;;;;;;;;;;
0;1;6;5;0;6127;;;;;;;;;;;;;;
0;1;7;5;0;3875;;;;;;;;;;;;;;
0;1;8;5;0;6184;;;;;;;;;;;;;;
0;1;1;6;0;5977;;;;;;;;;;;;;;
0;1;2;6;0;5712;;;;;;;;;;;;;;
0;1;3;6;0;5255;;;;;;;;;;;;;;
0;1;4;6;0;6342;;;;;;;;;;;;;;
0;1;5;6;0;4573;;;;;;;;;;;;;;
0;1;6;6;0;6886;;;;;;;;;;;;;;
0;1;7;6;0;4458;;;;;;;;;;;;;;
0;1;8;6;0;6708;;;;;;;;;;;;;;
0;1;1;7;0;6775;;;;;;;;;;;;;;
0;1;2;7;0;6449;;;;;;;;;;;;;;
0;1;3;7;0;5979;;;;;;;;;;;;;;
0;1;4;7;0;6944;;;;;;;;;;;;;;
0;1;5;7;0;4891;;;;;;;;;;;;;;
0;1;6;7;0;7124;;;;;;;;;;;;;;
0;1;7;7;0;4815;;;;;;;;;;;;;;
0;1;8;7;0;6893;;;;;;;;;;;;;;
0;0;1;1;0;10;;;;;;;;;;;;;;
0;0;2;1;0;11;;;;;;;;;;;;;;
0;0;3;1;0;2;;;;;;;;;;;;;;
0;0;4;1;0;18;;;;;;;;;;;;;;
0;0;5;1;0;12;;;;;;;;;;;;;;
0;0;6;1;0;9;;;;;;;;;;;;;;
0;0;7;1;0;8;;;;;;;;;;;;;;
0;0;8;1;0;21;;;;;;;;;;;;;;
0;0;1;2;0;23;;;;;;;;;;;;;;
0;0;2;2;0;19;;;;;;;;;;;;;;
0;0;3;2;0;8;;;;;;;;;;;;;;
0;0;4;2;0;28;;;;;;;;;;;;;;
0;0;5;2;0;86;;;;;;;;;;;;;;
0;0;6;2;0;166;;;;;;;;;;;;;;
0;0;7;2;0;12;;;;;;;;;;;;;;
0;0;8;2;0;22;;;;;;;;;;;;;;
0;0;1;3;0;91;;;;;;;;;;;;;;
0;0;2;3;0;91;;;;;;;;;;;;;;
0;0;3;3;0;109;;;;;;;;;;;;;;
0;0;4;3;0;126;;;;;;;;;;;;;;
0;0;5;3;0;47;;;;;;;;;;;;;;
0;0;6;3;0;78;;;;;;;;;;;;;;
0;0;7;3;0;106;;;;;;;;;;;;;;
0;0;8;3;0;98;;;;;;;;;;;;;;
0;0;1;4;0;236;;;;;;;;;;;;;;
0;0;2;4;0;327;;;;;;;;;;;;;;
0;0;3;4;0;371;;;;;;;;;;;;;;
0;0;4;4;0;327;;;;;;;;;;;;;;
0;0;5;4;0;194;;;;;;;;;;;;;;
0;0;6;4;0;243;;;;;;;;;;;;;;
0;0;7;4;0;319;;;;;;;;;;;;;;
0;0;8;4;0;282;;;;;;;;;;;;;;
0;0;1;5;0;561;;;;;;;;;;;;;;
0;0;2;5;0;661;;;;;;;;;;;;;;
0;0;3;5;0;770;;;;;;;;;;;;;;
0;0;4;5;0;726;;;;;;;;;;;;;;
0;0;5;5;0;373;;;;;;;;;;;;;;
0;0;6;5;0;453;;;;;;;;;;;;;;
0;0;7;5;0;632;;;;;;;;;;;;;;
0;0;8;5;0;629;;;;;;;;;;;;;;
0;0;1;6;0;882;;;;;;;;;;;;;;
0;0;2;6;0;974;;;;;;;;;;;;;;
0;0;3;6;0;1093;;;;;;;;;;;;;;
0;0;4;6;0;1085;;;;;;;;;;;;;;
0;0;5;6;0;645;;;;;;;;;;;;;;
0;0;6;6;0;829;;;;;;;;;;;;;;
0;0;7;6;0;935;;;;;;;;;;;;;;
0;0;8;6;0;917;;;;;;;;;;;;;;
0;0;1;7;0;1307;;;;;;;;;;;;;;
0;0;2;7;0;1325;;;;;;;;;;;;;;
0;0;3;7;0;1444;;;;;;;;;;;;;;
0;0;4;7;0;1537;;;;;;;;;;;;;;
0;0;5;7;0;865;;;;;;;;;;;;;;
0;0;6;7;0;1196;;;;;;;;;;;;;;
0;0;7;7;0;1140;;;;;;;;;;;;;;
0;0;8;7;0;1284;;;;;;;;;;;;;;
;1;1;1;5;3497;;;;;;;;;;;;;;
;1;2;1;5;3507;;;;;;;;;;;;;;
;1;3;1;5;2698;;;;;;;;;;;;;;
;1;4;1;5;4501;;;;;;;;;;;;;;
;1;5;1;5;2383;;;;;;;;;;;;;;
;1;6;1;5;3793;;;;;;;;;;;;;;
;1;7;1;5;1904;;;;;;;;;;;;;;
;1;8;1;5;3897;;;;;;;;;;;;;;
;1;1;2;5;3619;;;;;;;;;;;;;;
;1;2;2;5;3660;;;;;;;;;;;;;;
;1;3;2;5;2999;;;;;;;;;;;;;;
;1;4;2;5;4629;;;;;;;;;;;;;;
;1;5;2;5;2729;;;;;;;;;;;;;;
;1;6;2;5;3959;;;;;;;;;;;;;;
;1;7;2;5;2203;;;;;;;;;;;;;;
;1;8;2;5;4083;;;;;;;;;;;;;;
;1;1;3;5;4534;;;;;;;;;;;;;;
;1;2;3;5;4640;;;;;;;;;;;;;;
;1;3;3;5;3727;;;;;;;;;;;;;;
;1;4;3;5;5762;;;;;;;;;;;;;;
;1;5;3;5;3499;;;;;;;;;;;;;;
;1;6;3;5;4942;;;;;;;;;;;;;;
;1;7;3;5;2804;;;;;;;;;;;;;;
;1;8;3;5;4955;;;;;;;;;;;;;;
;1;1;4;5;4645;;;;;;;;;;;;;;
;1;2;4;5;4909;;;;;;;;;;;;;;
;1;3;4;5;3971;;;;;;;;;;;;;;
;1;4;4;5;5702;;;;;;;;;;;;;;
;1;5;4;5;4201;;;;;;;;;;;;;;
;1;6;4;5;5502;;;;;;;;;;;;;;
;1;7;4;5;3340;;;;;;;;;;;;;;
;1;8;4;5;5714;;;;;;;;;;;;;;
;1;1;5;5;5044;;;;;;;;;;;;;;
;1;2;5;5;5428;;;;;;;;;;;;;;
;1;3;5;5;4485;;;;;;;;;;;;;;
;1;4;5;5;6232;;;;;;;;;;;;;;
;1;5;5;5;4417;;;;;;;;;;;;;;
;1;6;5;5;5844;;;;;;;;;;;;;;
;1;7;5;5;3735;;;;;;;;;;;;;;
;1;8;5;5;5723;;;;;;;;;;;;;;
;1;1;6;5;5671;;;;;;;;;;;;;;
;1;2;6;5;6016;;;;;;;;;;;;;;
;1;3;6;5;5087;;;;;;;;;;;;;;
;1;4;6;5;6721;;;;;;;;;;;;;;
;1;5;6;5;4822;;;;;;;;;;;;;;
;1;6;6;5;6017;;;;;;;;;;;;;;
;1;7;6;5;4100;;;;;;;;;;;;;;
;1;8;6;5;6025;;;;;;;;;;;;;;
;1;1;7;5;6526;;;;;;;;;;;;;;
;1;2;7;5;6818;;;;;;;;;;;;;;
;1;3;7;5;5972;;;;;;;;;;;;;;
;1;4;7;5;7399;;;;;;;;;;;;;;
;1;5;7;5;5310;;;;;;;;;;;;;;
;1;6;7;5;6767;;;;;;;;;;;;;;
;1;7;7;5;4911;;;;;;;;;;;;;;
;1;8;7;5;6794;;;;;;;;;;;;;;
;0;1;1;5;15;;;;;;;;;;;;;;
;0;2;1;5;5;;;;;;;;;;;;;;
;0;3;1;5;5;;;;;;;;;;;;;;
;0;4;1;5;18;;;;;;;;;;;;;;
;0;5;1;5;6;;;;;;;;;;;;;;
;0;6;1;5;11;;;;;;;;;;;;;;
;0;7;1;5;212;;;;;;;;;;;;;;
;0;8;1;5;16;;;;;;;;;;;;;;
;0;1;2;5;118;;;;;;;;;;;;;;
;0;2;2;5;22;;;;;;;;;;;;;;
;0;3;2;5;31;;;;;;;;;;;;;;
;0;4;2;5;41;;;;;;;;;;;;;;
;0;5;2;5;9;;;;;;;;;;;;;;
;0;6;2;5;31;;;;;;;;;;;;;;
;0;7;2;5;138;;;;;;;;;;;;;;
;0;8;2;5;24;;;;;;;;;;;;;;
;0;1;3;5;45;;;;;;;;;;;;;;
;0;2;3;5;74;;;;;;;;;;;;;;
;0;3;3;5;74;;;;;;;;;;;;;;
